p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	cluster_names
3.93351528004083e-312	-0.793232556682932	0.079	0.266	7.01306439278479e-308	0	UBE2J1	Naive 2
1.09912637786038e-304	-1.32749146340088	0.15	0.315	1.95963241908728e-300	0	MIR155HG	Naive 2
4.04408723782934e-298	-0.646361748595568	0.017	0.158	7.21020313632592e-294	0	NEIL1	Naive 2
4.97069832583844e-298	-0.679626354135813	0.111	0.32	8.86225804513735e-294	0	CD82	Naive 2
4.05652560706256e-294	-0.552807411845522	0.012	0.14	7.23237950483185e-290	0	CD38	Naive 2
2.26012629285412e-281	-0.879478039486636	0.61	0.737	4.02957916752961e-277	0	ENO1	Naive 2
5.67387474236778e-279	-0.763373990501685	0.645	0.769	1.01159512781675e-274	0	RAN	Naive 2
5.3321705139146e-277	-0.853925099305617	0.217	0.427	9.50672680925833e-273	0	EIF5A	Naive 2
1.60523178799568e-269	-0.522096656346134	0.026	0.164	2.8619677548175e-265	0	AIM2	Naive 2
9.49465344010225e-266	-0.9117474571946	0.059	0.217	1.69280176183583e-261	0	PTTG1	Naive 2
3.6677740137285e-258	-0.679375322244635	0.389	0.586	6.53927428907655e-254	0	TCEA1	Naive 2
2.939813159295e-257	-1.05145458884914	0.059	0.207	5.24139288170705e-253	0	XBP1	Naive 2
3.20380674104574e-254	-0.46665246703159	0.011	0.126	5.71206703861045e-250	0	HRK	Naive 2
6.16325685357657e-247	-0.656295115545579	0.131	0.31	1.09884706442417e-242	0	SRM	Naive 2
1.65515805988057e-243	-0.419476666645065	0.009	0.12	2.95098130496106e-239	0	MYBL2	Naive 2
2.76204064140238e-243	-0.682563577073565	0.455	0.626	4.92444225955631e-239	0	LDHA	Naive 2
1.80569044480991e-242	-0.684359620938062	0.063	0.217	3.21936549405159e-238	0	DAAM1	Naive 2
3.66763091927274e-239	-0.602747656000651	0.3	0.503	6.53901916597138e-235	0	CYCS	Naive 2
4.67325918985822e-239	-0.931449232971528	0.256	0.434	8.33195380959823e-235	0	FABP5	Naive 2
2.35810443200139e-238	-0.54268675761147	0.451	0.64	4.20426439181527e-234	0	POLR2L	Naive 2
2.116506565979e-236	-0.495448543939493	0.029	0.153	3.77351955648396e-232	0	CYTOR	Naive 2
2.34251553352791e-236	-0.584508774087843	0.117	0.306	4.1764709447269e-232	0	POU2AF1	Naive 2
5.86349208225612e-235	-0.561613087852725	0.094	0.262	1.04540200334544e-230	0	MTHFD2	Naive 2
2.70759452272396e-233	-0.567385924815124	0.078	0.247	4.82737027456454e-229	0	NANS	Naive 2
1.22024983157875e-230	-0.678557512344495	0.408	0.59	2.17558342472176e-226	0	NCL	Naive 2
3.4770020894129e-230	-0.846889868299928	0.58	0.72	6.19914702521426e-226	0	H2AFZ	Naive 2
2.3151416709366e-229	-1.11872530010183	0.089	0.23	4.12766608511286e-225	0	LGALS1	Naive 2
1.1693114834579e-225	0.362808000492376	0.954	0.908	2.0847654438571e-221	0	EEF1B2	Naive 2
1.76166170976002e-223	-0.634091158196456	0.06	0.201	3.14086666233114e-219	0	BCL2A1	Naive 2
2.21559736377127e-223	-0.572100237305106	0.45	0.628	3.95018853986779e-219	0	SEC61B	Naive 2
1.3231945954618e-222	-1.4562583414322	0.06	0.199	2.35912364424884e-218	0	MZB1	Naive 2
1.39820524390124e-221	-0.659063337860054	0.169	0.348	2.49286012935153e-217	0	DDX21	Naive 2
1.97388203804017e-221	-0.588165200412115	0.154	0.333	3.51923428562182e-217	0	ODC1	Naive 2
4.28122905075246e-220	-0.587658862894689	0.863	0.907	7.63300327458656e-216	0	PFN1	Naive 2
4.7714421634011e-215	-0.393359870368968	0.027	0.146	8.50700423312782e-211	0	SLC1A5	Naive 2
1.08257390292862e-214	-0.663948799283596	0.169	0.35	1.93012101153144e-210	0	SEC11C	Naive 2
1.16043284096804e-214	-0.586947238918603	0.317	0.506	2.06893571216192e-210	0	SNRPD1	Naive 2
1.56349881390555e-213	-1.68616918908409	0.181	0.327	2.78756203531221e-209	0	HMGB2	Naive 2
8.61281257924391e-212	-0.425547424356215	0.007	0.1	1.5355783547534e-207	0	AICDA	Naive 2
2.11190557279149e-211	-0.648758575355528	0.013	0.111	3.76531644572995e-207	0	PCLAF	Naive 2
5.5024743115616e-209	-0.598784432983381	0.501	0.665	9.81036145008318e-205	0	SET	Naive 2
4.20210588221509e-205	-0.685493956194869	0.045	0.173	7.49193457740128e-201	0	DUSP2	Naive 2
4.65437887103251e-205	-0.465073246561079	0.031	0.152	8.29829208916386e-201	0	PHGDH	Naive 2
7.40742099852209e-204	-0.503087348720931	0.166	0.356	1.3206690898265e-199	0	IMP4	Naive 2
6.48132664782935e-203	-0.519391680387714	0.267	0.464	1.15555572804149e-198	0	SLIRP	Naive 2
2.9483540685463e-202	-0.52157349719306	0.51	0.673	5.2566204688112e-198	0	SNRPG	Naive 2
4.71552071442391e-198	-0.401094235551833	0.019	0.131	8.40730188174639e-194	0	CPNE5	Naive 2
4.64030565866213e-197	-0.608260253880144	0.575	0.718	8.27320095882871e-193	0	EZR	Naive 2
1.40373068372039e-196	-0.587989453751977	0.099	0.257	2.50271143600509e-192	0	CKS2	Naive 2
8.8819942463181e-192	-1.30346989800321	0.057	0.166	1.58357075417605e-187	0	IGHA1	Naive 2
1.48991265435158e-191	-0.612796856498941	0.063	0.178	2.65636527144343e-187	0	LMNA	Naive 2
1.71965395793544e-190	-0.521397769091099	0.049	0.184	3.06597104160309e-186	0	SUSD3	Naive 2
2.72613320726792e-190	-0.499616838810366	0.235	0.421	4.86042289523797e-186	0	CCT5	Naive 2
7.20792580497445e-190	-0.459982955112255	0.057	0.184	1.28510109176889e-185	0	CD58	Naive 2
3.05710004666044e-189	-0.522441839830012	0.474	0.635	5.45050367319089e-185	0	POMP	Naive 2
4.95434661924525e-188	-0.524764731871451	0.388	0.565	8.83310458745235e-184	0	SRSF9	Naive 2
2.35674612975937e-187	-0.40828375647492	0.022	0.13	4.20184267474799e-183	0	AC023590.1	Naive 2
1.22597073201979e-184	0.525485639251723	0.399	0.253	2.18578321811808e-180	0	ADAM28	Naive 2
2.81812544058627e-184	-0.475540223258994	0.32	0.507	5.02443584802125e-180	0	PRELID1	Naive 2
3.46972887508507e-182	-0.629000440867381	0.07	0.21	6.18617961138917e-178	0	RGS2	Naive 2
3.55902197357262e-181	-0.598808004949098	0.36	0.526	6.34538027668263e-177	0	HSPE1	Naive 2
3.53927534380741e-180	-0.386279903932012	0.03	0.132	6.31017401047424e-176	0	PYCR1	Naive 2
5.85333613775258e-180	-0.324687291127661	0.017	0.116	1.04359129999991e-175	0	FAM241A	Naive 2
1.88948702876126e-178	-0.41378610835748	0.718	0.821	3.36876642357845e-174	0	RPS26	Naive 2
2.7284253549078e-178	-0.493304360548897	0.135	0.299	4.86450956526512e-174	0	SMS	Naive 2
7.21605739855868e-176	-0.380724175380114	0.058	0.183	1.28655087358903e-171	0	PPP1R14B	Naive 2
1.22289301946977e-175	0.462765779868323	0.378	0.226	2.18029596441265e-171	0	FCMR	Naive 2
1.15201859612965e-174	-0.545166549886194	0.025	0.126	2.05393395503955e-170	0	VPREB3	Naive 2
1.0486482030778e-173	-0.476380777005271	0.049	0.175	1.86963488126741e-169	0	CD81	Naive 2
1.51886852728129e-171	-0.592467929595527	0.514	0.66	2.70799069728982e-167	0	HERPUD1	Naive 2
8.60902876192954e-171	-0.671549366820418	0.151	0.303	1.53490373796442e-166	0	HSPA5	Naive 2
3.7540747348648e-170	-0.439029306543821	0.11	0.264	6.69313984479045e-166	0	HNRNPAB	Naive 2
1.43901366283247e-169	-0.48193944784361	0.673	0.777	2.56561745946401e-165	0	PSMA7	Naive 2
2.92596174282589e-169	-0.562571666083926	0.303	0.473	5.21669719128427e-165	0	ANXA2	Naive 2
4.03086312638055e-169	-0.329125210352789	0.019	0.12	7.18662586802389e-165	0	SEMA4A	Naive 2
1.17739747317129e-167	-0.595464402897456	0.22	0.38	2.0991819549171e-163	0	TUBB4B	Naive 2
2.91886325891583e-167	-0.39850903739057	0.048	0.166	5.20404130432104e-163	0	PRDX4	Naive 2
4.1005306886476e-167	-0.766127345001153	0.472	0.598	7.31083616478981e-163	0	TUBB	Naive 2
1.54591053352095e-165	-0.479001953805833	0.522	0.664	2.75620389021451e-161	0	ERH	Naive 2
1.29569277890801e-164	-0.564570212197987	0.357	0.511	2.3100906555151e-160	0	RANBP1	Naive 2
2.90129858579178e-164	-1.11819292671419	0.392	0.509	5.17272524860817e-160	0	LTB	Naive 2
1.55053953534428e-162	0.39790350886969	0.633	0.487	2.76445693756532e-158	0	BANK1	Naive 2
2.63038286676082e-162	0.45251458540115	0.463	0.324	4.68970961314787e-158	0	TRAF3IP3	Naive 2
1.00325250509794e-161	-0.44825748407256	0.504	0.653	1.78869889133911e-157	0	ATP5F1B	Naive 2
2.55039577713873e-161	-0.474012025442794	0.306	0.487	4.54710063106065e-157	0	COX17	Naive 2
2.65312040492307e-160	-0.476850049777428	0.422	0.581	4.73024836993735e-156	0	SEC61G	Naive 2
3.26746285389893e-160	-0.409438569300533	0.124	0.285	5.82555952221641e-156	0	CDV3	Naive 2
5.67266460007175e-160	-0.497245524055165	0.251	0.421	1.01137937154679e-155	0	FNBP1	Naive 2
5.79559564193242e-160	-0.475655526246549	0.184	0.359	1.03329674700013e-155	0	RFTN1	Naive 2
2.4058485760089e-159	0.510811908237922	0.276	0.164	4.28938742616627e-155	0	PLPP5	Naive 2
2.63601603742897e-159	-0.496669839153754	0.12	0.268	4.69975299313211e-155	0	SLBP	Naive 2
2.70174461542167e-159	-0.524372486002343	0.117	0.269	4.8169404748353e-155	0	KPNA2	Naive 2
2.49848443025557e-158	-0.396094637687183	0.075	0.205	4.45454789070266e-154	0	TUBA1C	Naive 2
5.41798301953358e-158	-0.424040441727871	0.19	0.362	9.65972192552642e-154	0	EIF3A	Naive 2
1.11703858053107e-157	-0.462347666639165	0.187	0.35	1.99156808522885e-153	0	NOP56	Naive 2
5.26583134479157e-157	-0.429894453008766	0.098	0.25	9.3884507046289e-153	0	SIAH2	Naive 2
6.54392777316069e-157	-0.481890901739424	0.39	0.558	1.16671688267682e-152	0	SRSF7	Naive 2
3.53280066355835e-156	-0.637962574397977	0.129	0.264	6.29863030305818e-152	0	RGS1	Naive 2
6.59909689547775e-156	-0.590848191310736	0.489	0.628	1.17655298549473e-151	0	DYNLL1	Naive 2
1.96157179561073e-154	-1.48129550698844	0.115	0.237	3.49728635439437e-150	0	IGHG1	Naive 2
3.06634982354212e-154	0.445839672235066	0.454	0.314	5.46699510039325e-150	0	HVCN1	Naive 2
7.466628887909e-154	-0.38668300477234	0.07	0.206	1.3312252644253e-149	0	TRABD	Naive 2
8.65025061352107e-153	-0.452854600862763	0.228	0.405	1.54225318188467e-148	0	PTP4A2	Naive 2
1.17389421402182e-152	-0.466038628490541	0.723	0.822	2.0929359941795e-148	0	CALM2	Naive 2
2.40104038572913e-152	-0.385340934624689	0.019	0.111	4.28081490371646e-148	0	WDR66	Naive 2
2.62785743121245e-151	-0.457496657275999	0.103	0.244	4.68520701410868e-147	0	TRAF4	Naive 2
1.85183139809327e-150	-0.594996967172013	0.23	0.386	3.30163019966048e-146	0	H2AFV	Naive 2
5.54068559712016e-150	-0.432674565589953	0.034	0.136	9.87848835110554e-146	0	UBE2S	Naive 2
2.10326275873063e-149	-0.528520557700052	0.261	0.426	3.74990717254084e-145	0	BASP1	Naive 2
4.52876728886819e-149	-0.48804797730888	0.308	0.467	8.07433919932309e-145	0	HMGA1	Naive 2
1.47097409114852e-148	-0.432649973688061	0.29	0.464	2.6225997071087e-144	0	EIF5B	Naive 2
2.53473747034839e-148	-0.388490237040152	0.167	0.331	4.51918343588414e-144	0	GLRX3	Naive 2
4.05662677687499e-148	-0.510524009591372	0.14	0.28	7.23255988049042e-144	0	SRGN	Naive 2
1.16348509045678e-146	-0.431017878394177	0.171	0.329	2.07437756777539e-142	0	ATP1B3	Naive 2
2.0945360421811e-146	-0.433890201069759	0.197	0.363	3.73434830960469e-142	0	VOPP1	Naive 2
4.118078087686e-146	-0.438349222799407	0.29	0.457	7.34212142253537e-142	0	CCT2	Naive 2
5.05698596245172e-146	-0.467610438380094	0.154	0.307	9.01610027245518e-142	0	JPT1	Naive 2
1.88710030735271e-145	-0.387941178871805	0.089	0.221	3.36451113797915e-141	0	EBNA1BP2	Naive 2
1.74855220747684e-144	-0.535586814567194	0.336	0.487	3.11749373071047e-140	0	HSPD1	Naive 2
4.90551377085045e-144	-0.432573852157897	0.431	0.585	8.74604050204926e-140	0	ATP5PF	Naive 2
2.75303171647322e-143	-0.421671640221049	0.171	0.328	4.9083802473001e-139	0	NOP58	Naive 2
1.246449782839e-141	-0.402033334750744	0.09	0.227	2.22229531782366e-137	0	UBALD2	Naive 2
3.51456888720045e-141	-0.447025362345157	0.064	0.19	6.26612486898969e-137	0	CCDC88A	Naive 2
4.2840640691205e-141	-0.42600126953569	0.212	0.377	7.63805782883494e-137	0	TIMM13	Naive 2
8.57003938196342e-141	0.321480323020306	0.708	0.609	1.52795232141026e-136	0	HLA-DMB	Naive 2
8.8639957267873e-141	-0.457718948531694	0.255	0.412	1.58036179812891e-136	0	NHP2	Naive 2
2.23009799492638e-140	-0.394241000634178	0.245	0.417	3.97604171515424e-136	0	NDUFS6	Naive 2
2.25871440104741e-140	-0.394523906171784	0.131	0.282	4.02706190562742e-136	0	GSPT1	Naive 2
9.07012599174177e-140	-0.413648686989372	0.098	0.232	1.61711276306764e-135	0	CFLAR	Naive 2
9.76725228287817e-140	-1.70775821075511	0.313	0.422	1.74140340951435e-135	0	JCHAIN	Naive 2
1.04077824465086e-139	-0.424939700627126	0.664	0.76	1.85560353238803e-135	0	CHCHD2	Naive 2
1.51022759103946e-139	-0.398877598097664	0.17	0.334	2.69258477206425e-135	0	TIMM8B	Naive 2
1.57351417565327e-139	-0.416403221035721	0.28	0.445	2.80541842377222e-135	0	DDX39A	Naive 2
1.8375744876449e-138	-0.661017009851247	0.054	0.146	3.2762115540221e-134	0	MYC	Naive 2
1.20325344463389e-137	-0.454999945631402	0.103	0.23	2.14528056643776e-133	0	PIM3	Naive 2
1.67230282842517e-137	0.36663828435372	0.665	0.558	2.98154871279923e-133	0	SARAF	Naive 2
7.45202400216458e-136	-0.41694841114345	0.211	0.374	1.32862135934592e-131	0	H2AFY	Naive 2
1.88997437186607e-135	-0.327324520907134	0.059	0.174	3.36963530760002e-131	0	PAICS	Naive 2
3.61453014352998e-135	-0.401024997402051	0.135	0.274	6.44434579289961e-131	0	GARS	Naive 2
6.3882597912016e-135	-0.485802109787311	0.39	0.537	1.13896283817333e-130	0	PA2G4	Naive 2
1.79102004886048e-134	-0.312617138819406	0.074	0.206	3.19320964511334e-130	0	LRRC59	Naive 2
4.99717485662905e-134	-0.334870903572615	0.064	0.189	8.90946305188393e-130	0	CCDC167	Naive 2
7.04057381597536e-134	-0.366909307207319	0.063	0.176	1.25526390565025e-129	0	NOLC1	Naive 2
7.49367911357416e-134	-0.42257433153722	0.312	0.476	1.33604804915914e-129	0	SEM1	Naive 2
1.59542654315807e-133	-0.485677390606171	0.144	0.295	2.84448598379653e-129	0	PIM1	Naive 2
4.59268799992135e-133	-0.37542911858552	0.837	0.892	8.18830343505978e-129	0	H3F3B	Naive 2
5.10794833568991e-133	-0.421426679642668	0.332	0.49	9.10696108770153e-129	0	PRMT1	Naive 2
9.55111559030671e-133	-0.386003759932179	0.156	0.31	1.70286839859578e-128	0	PRDX3	Naive 2
7.96935967215129e-132	-0.421020706599444	0.522	0.657	1.42085713594785e-127	0	PSMA4	Naive 2
8.28548524654628e-132	-0.361148256822458	0.106	0.241	1.47721916460674e-127	0	MRPL12	Naive 2
3.48219906211405e-131	-0.458806541931283	0.466	0.603	6.20841270784314e-127	0	LDHB	Naive 2
7.60103234585551e-131	-0.408184285998127	0.476	0.619	1.35518805694258e-126	0	SRSF2	Naive 2
5.51766664117847e-130	-0.355262480635228	0.056	0.16	9.83744785455709e-126	0	NOP16	Naive 2
7.24902582517408e-130	-0.349254210630712	0.051	0.166	1.29242881437029e-125	0	SEC14L1	Naive 2
5.33077332068557e-129	-0.380534522416138	0.364	0.525	9.50423575345031e-125	0	COX5A	Naive 2
4.49780161096324e-128	-0.38212550781982	0.344	0.513	8.01913049218637e-124	0	GTF3A	Naive 2
5.53623686919305e-128	-0.446762114755541	0.409	0.554	9.87055671408429e-124	0	PSME2	Naive 2
2.29132037044301e-127	-0.359082076428611	0.096	0.223	4.08519508846285e-123	0	TOMM40	Naive 2
4.2325557792075e-127	-0.480154851783219	0.212	0.35	7.54622369874905e-123	0	SLC3A2	Naive 2
2.36517192587652e-126	0.330135057403763	0.854	0.808	4.21686502664525e-122	0	NOP53	Naive 2
4.08858261668092e-125	-0.359142932456588	0.089	0.208	7.28953394728042e-121	0	GPATCH4	Naive 2
7.72232155283055e-125	-0.452946441285371	0.421	0.565	1.37681270965416e-120	0	PARP1	Naive 2
3.52279968610287e-123	-0.38821414558485	0.313	0.469	6.28079956035281e-119	0	CCT6A	Naive 2
5.2731101518837e-123	-0.391831526406361	0.335	0.497	9.40142808979346e-119	0	MTDH	Naive 2
1.1548449908e-122	-0.382307695900252	0.53	0.662	2.05897313409732e-118	0	ATP5MD	Naive 2
2.79564637961009e-122	-0.390904647228734	0.325	0.486	4.98435793020682e-118	0	RAP1B	Naive 2
4.34374022677178e-122	-0.424499180059735	0.458	0.595	7.74445445031141e-118	0	SNRPE	Naive 2
5.45548820811468e-122	0.406689796082829	0.144	0.061	9.72658992624766e-118	0	KCNG1	Naive 2
2.03374925914916e-121	-0.452353466166912	0.475	0.606	3.62597155413703e-117	0	ANP32B	Naive 2
4.91823634950487e-121	-0.380927987097052	0.069	0.189	8.76872358753224e-117	0	SEL1L3	Naive 2
5.50738369194845e-121	-0.415043372007947	0.471	0.608	9.81911438437489e-117	0	ATP5MC3	Naive 2
1.11485236529612e-120	-0.551926844703396	0.235	0.372	1.98767028208644e-116	0	S100A10	Naive 2
1.42542215201869e-120	-0.435160374683046	0.095	0.213	2.54138515483412e-116	0	DNMT1	Naive 2
2.16277318645165e-120	-0.344302008864408	0.232	0.394	3.85600831412465e-116	0	PSMA5	Naive 2
2.56096824560375e-120	-0.352451941975408	0.252	0.417	4.56595028508693e-116	0	NOL7	Naive 2
3.21794441091531e-120	-3.1837812204481	0.361	0.469	5.73727309022091e-116	0	IGHG3	Naive 2
3.56721537579464e-119	-0.443401760454591	0.081	0.195	6.35998829350426e-115	0	PDIA4	Naive 2
3.94761050211796e-119	-0.341193474364253	0.268	0.432	7.03819476422612e-115	0	PSMB2	Naive 2
6.36438410084054e-119	-0.32393525405862	0.061	0.168	1.13470604133886e-114	0	RPF2	Naive 2
7.92752982340643e-119	-0.502400767058873	0.679	0.762	1.41339929221513e-114	0	HSP90AA1	Naive 2
1.68739058452707e-118	-0.324236106214387	0.124	0.263	3.00844867315331e-114	0	MRPL15	Naive 2
1.84694406711785e-118	-0.376714827788683	0.135	0.269	3.29291657726442e-114	0	DKC1	Naive 2
2.53836691032141e-118	-0.389070466649756	0.252	0.411	4.52565436441205e-114	0	SMARCB1	Naive 2
2.745894452673e-118	-0.362203961200564	0.237	0.395	4.89565521967069e-114	0	PFDN2	Naive 2
3.04737213340424e-118	-0.345917812282622	0.144	0.289	5.43315977664642e-114	0	SYNCRIP	Naive 2
4.86841367377268e-118	-0.353200666026838	0.101	0.23	8.67989473896932e-114	0	GNL3	Naive 2
6.13293937742433e-118	-0.328622693875256	0.115	0.248	1.09344176160098e-113	0	DCAF13	Naive 2
4.75412519450087e-117	-0.477524077693555	0.094	0.188	8.47612980927561e-113	0	TNFRSF18	Naive 2
6.55278686195541e-117	-0.404335574075498	0.252	0.4	1.16829636961803e-112	0	LCP1	Naive 2
6.36207341994328e-116	-0.33936099823529	0.211	0.366	1.13429407004169e-111	0	STRAP	Naive 2
1.4127650495364e-115	-0.494482827928184	0.103	0.222	2.51881880681844e-111	0	HMCES	Naive 2
1.68396211481206e-115	-0.463912175763532	0.209	0.356	3.00233605449842e-111	0	GRHPR	Naive 2
1.7798843255434e-115	-0.432331831529519	0.594	0.697	3.17335576401133e-111	0	SRSF3	Naive 2
4.12033303780114e-115	-0.343446144202871	0.144	0.284	7.34614177309565e-111	0	AK6	Naive 2
6.30354565002308e-115	-0.387211615314906	0.323	0.478	1.12385915394261e-110	0	MRPL51	Naive 2
8.13245609622676e-115	-0.356013125545102	0.188	0.338	1.44993559739627e-110	0	LPXN	Naive 2
2.39496470103368e-114	-0.39874218556988	0.062	0.164	4.26998256547295e-110	0	SDF2L1	Naive 2
2.96576850478878e-114	-0.82229146062589	0.602	0.679	5.28766866718792e-110	0	TUBA1B	Naive 2
3.55540339689692e-114	-0.569646736423823	0.382	0.521	6.33892871632751e-110	0	SAT1	Naive 2
9.93178425170065e-114	-0.332657932407196	0.154	0.301	1.77073781423571e-109	0	ATOX1	Naive 2
1.69335520618887e-113	-0.343759583768557	0.254	0.415	3.01908299711413e-109	0	MRPL20	Naive 2
3.32129551838509e-113	-0.354497063723348	0.174	0.314	5.92153777972878e-109	0	DCTPP1	Naive 2
5.33407030616227e-113	-0.349146158948758	0.246	0.401	9.51011394885671e-109	0	PSMC1	Naive 2
5.3504521207984e-113	-0.396378407335051	0.063	0.151	9.53932108617147e-109	0	PSAT1	Naive 2
8.90005075547611e-113	-0.358726610352072	0.266	0.419	1.58679004919384e-108	0	PHB	Naive 2
2.81765172828822e-112	-0.347265403385524	0.296	0.454	5.02359126636508e-108	0	MINOS1	Naive 2
2.85496009374824e-111	-0.350716449827561	0.113	0.25	5.09010835114373e-107	0	UBE2G1	Naive 2
3.90826249896845e-111	-0.654022087699391	0.212	0.333	6.96804120941084e-107	0	HSP90B1	Naive 2
1.57071760778966e-110	0.34160568461154	0.469	0.329	2.80043242292818e-106	0	TXNIP	Naive 2
1.66252184436311e-110	-0.316507840441275	0.096	0.217	2.96411019631499e-106	0	GTPBP4	Naive 2
3.3763920718602e-110	0.37633792088519	0.285	0.177	6.01976942491954e-106	0	CLEC2B	Naive 2
7.52612566932572e-110	-0.320132440962183	0.504	0.641	1.34183294558408e-105	0	NDUFA13	Naive 2
1.60748497643463e-109	-0.335071789486501	0.263	0.422	2.86598496448531e-105	0	NDUFAB1	Naive 2
2.00489455497992e-109	-0.335809883515672	0.039	0.132	3.5745265020737e-105	0	GMDS	Naive 2
2.0424066913354e-109	-0.349787790867952	0.18	0.32	3.64140688998189e-105	0	PDCD5	Naive 2
2.21958791207272e-109	-0.388879280116845	0.23	0.374	3.95730328843444e-105	0	PDIA6	Naive 2
3.67959532141588e-109	-0.339965045626646	0.499	0.634	6.56035049855238e-105	0	PTGES3	Naive 2
3.93266351409703e-109	-0.342589178519347	0.093	0.205	7.01154577928359e-105	0	WDR43	Naive 2
1.52976896614555e-108	-0.366296589469993	0.472	0.609	2.72742508974091e-104	0	EIF2S2	Naive 2
2.33415483871917e-108	-0.315344584734887	0.244	0.399	4.16156466195241e-104	0	ARHGDIA	Naive 2
4.52887365916405e-108	-0.317098542930114	0.076	0.181	8.07452884692359e-104	0	MRTO4	Naive 2
4.8831206145035e-108	-0.333970301503022	0.432	0.581	8.70611574359829e-104	0	SNU13	Naive 2
7.04154906597501e-108	-0.447952484119699	0.133	0.259	1.25543778297268e-103	0	GCHFR	Naive 2
8.38064248241725e-108	-0.328750110801724	0.159	0.298	1.49418474819017e-103	0	NDUFAF8	Naive 2
1.66237065124201e-107	-0.321497872291878	0.245	0.401	2.96384063409938e-103	0	PSMC3	Naive 2
1.87939048233292e-107	-0.357637216773126	0.412	0.559	3.35076529095135e-103	0	SOD1	Naive 2
2.1240663783288e-107	-0.345870064760073	0.556	0.677	3.78699794592242e-103	0	PSMB1	Naive 2
2.94854411647134e-107	-0.4531491358053	0.327	0.46	5.25695930525676e-103	0	COTL1	Naive 2
5.09100338959581e-107	-0.363120379055392	0.327	0.474	9.07674994331036e-103	0	ILF2	Naive 2
8.82345122497584e-107	-0.306425581652496	0.085	0.203	1.57313311890094e-102	0	ZNF593	Naive 2
7.56809123056518e-106	-0.374885994735187	0.512	0.637	1.34931498549747e-101	0	SERBP1	Naive 2
1.23639722695683e-105	-0.309353092148817	0.308	0.467	2.20437261594134e-101	0	AURKAIP1	Naive 2
1.51671708637235e-105	-0.317877835209088	0.242	0.397	2.70415489329327e-101	0	PSMD7	Naive 2
2.83060036852681e-105	-0.369424096337912	0.545	0.665	5.04667739704646e-101	0	HNRNPC	Naive 2
2.40190337051928e-104	-0.327905197058833	0.191	0.341	4.28235351929883e-100	0	NDUFAF3	Naive 2
3.15880586944307e-104	-0.307434891837635	0.129	0.258	5.63183498463005e-100	0	EIF2S1	Naive 2
5.07021527914768e-104	-0.341837702301474	0.547	0.674	9.0396868211924e-100	0	YWHAB	Naive 2
1.01056825199941e-103	-0.367973575919229	0.234	0.377	1.80174213648975e-99	0	ANXA5	Naive 2
1.07675297141881e-103	-0.350016567678531	0.454	0.588	1.91974287274259e-99	0	SNRPB	Naive 2
1.17150830160135e-103	-0.335539551105933	0.44	0.58	2.08868215092505e-99	0	PGK1	Naive 2
1.29896422732615e-103	-0.424734103319881	0.937	0.943	2.3159233208998e-99	0	YBX1	Naive 2
1.53996627125549e-103	-0.324692511379353	0.38	0.529	2.74560586502142e-99	0	EIF3I	Naive 2
1.71501052327532e-103	-0.361990223338144	0.081	0.186	3.05769226194756e-99	0	SAMSN1	Naive 2
1.88170179067159e-103	-0.33492043939428	0.608	0.719	3.35488612258838e-99	0	ELOB	Naive 2
