feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
ETS1-regulon	Activated	0.217706609122993	-0.0263217902565514	21922787	0.268368097518444	4.81021531691578e-254	5.692088125017e-253	100	100
ETV2-regulon	Activated	0.0284306898171057	-0.00017873327595111	40743639.5	0.498763821342256	0.855824943688811	0.855824943688811	100	100
ETV3-regulon	Activated	0.0143041216496818	0.00299919534781349	47802535.5	0.585175393470406	4.33907071934158e-36	9.78012765311911e-36	90.7348242811502	84.0728309347556
ETV5-regulon	Activated	0.0330524360826381	-0.000428959675870526	39961317	0.489187009736557	0.111996921779761	0.125224904667135	100	100
ETV6-regulon	Activated	0.456820152625032	-0.00287367681333139	37218795.5	0.455614395207281	6.85713359691804e-11	1.11921031122111e-10	100	100
ETV7-regulon	Activated	0.0546225331907406	-0.00986169747093458	26222114	0.320998367912427	1.49419476610115e-152	8.48702627145453e-152	100	100
FLI1-regulon	Activated	0.127386255722948	-0.0172595915067291	24762522	0.303130752440309	4.25489418773373e-184	3.02097487329095e-183	100	100
FOS-regulon	Activated	0.0834198513787681	-0.0029810515740029	37568395	0.45989402227789	3.75285363534454e-09	5.73016361525725e-09	100	100
FOSB-regulon	Activated	0.0431168168461675	0.00171428492976881	43166727	0.5284260801826	2.94037639839194e-05	4.01474469780438e-05	99.8935037273695	99.2988183364752
FOSL1-regulon	Activated	0.0800514098839791	0.0200891430090245	61688154.5	0.755156388765209	8.34811266481193e-308	1.31714666489255e-306	100	100
FOXO1-regulon	Activated	0.0151194768139147	-0.00164561625059504	38988922	0.477283423017111	0.000406712523270511	0.000529845672517547	48.2428115015974	52.5196560761414
FOXO3-regulon	Activated	0.0176141979664484	-0.00222166387037508	39696635	0.485946901406016	0.0249902734261344	0.0288505595651307	45.2076677316294	46.8274403420847
GABPA-regulon	Activated	0.027026844139647	0.00160535895529126	45301525	0.554559239157606	1.06557809999751e-15	1.89140112749557e-15	100	100
GTF2B-regulon	Activated	0.0818986744085045	0.00296438225071007	44450992.5	0.544147433902069	8.65553533715009e-11	1.39668865667649e-10	100	100
HINFP-regulon	Activated	0.0169572952200816	0.000758126076717047	41616402.5	0.509447761568218	0.154310578456234	0.16726795527317	64.0575079872204	63.1983079681824
HIVEP3-regulon	Activated	0.097560826928012	0.0207308582457828	54176618	0.663203811752744	3.75285535115237e-127	1.77635153287879e-126	99.7337593184239	99.6919398593039
HOXB2-regulon	Activated	0.037715959250703	0.000639710766900267	42198396.5	0.516572249095609	0.014645262593813	0.0171870023828219	85.7827476038339	83.6406271552715
IKZF1-regulon	Activated	0.142111937320416	-0.00182784574091008	37055612.5	0.453616788276312	9.27316803507534e-12	1.53115100114035e-11	100	100
IRF1-regulon	Activated	0.1331898512155	-0.00234984692778456	39333575.5	0.481502503560934	0.0065530719059396	0.0078859000901985	100	100
IRF2-regulon	Activated	0.0872564206242086	0.00233253711307431	43983402.5	0.538423424508617	1.62860117098913e-08	2.46022730085592e-08	100	100
IRF3-regulon	Activated	0.138668363575549	-0.00707080844919553	29946738.5	0.3665934097762	1.32227290055223e-85	5.07466896968695e-85	100	100
IRF4-regulon	Activated	0.0630460032045203	0.0048337083303709	49721487.5	0.608666270678181	2.0136903167632e-57	5.83559234653826e-57	100	99.9954020874523
IRF5-regulon	Activated	0.069281976452826	0.0231972987076649	54265152	0.664287601927128	9.03515695987619e-130	4.58211531536578e-129	94.8349307774228	79.8588440847855
IRF7-regulon	Activated	0.0997826357949905	-0.00839970224588014	30333702	0.371330428764893	9.13305686334821e-80	3.24223518648862e-79	100	100
IRF8-regulon	Activated	0.074539996242139	-0.0075452057154005	32041447.5	0.392235818708275	1.67285775297316e-56	4.75091601844377e-56	100	100
IRF9-regulon	Activated	0.0337073533469014	-0.000217885526767464	41083582.5	0.502925238235771	0.667233767212025	0.676765678172196	100	100
JUN-regulon	Activated	0.092549856731376	0.00432872873097362	46159039	0.565056508541075	1.1557288606467e-21	2.279354141831e-21	100	100
JUNB-regulon	Activated	0.163841686637132	0.0042344492168018	45015028	0.551052082205584	6.2097519623585e-14	1.08862318352458e-13	100	100
JUND-regulon	Activated	0.0421441255525095	0.00384559753950761	48425051.5	0.592795931616162	2.3460037603949e-42	5.74366437889785e-42	100	100
KLF11-regulon	Activated	0.0188775905533662	-0.00319096336320084	38996454	0.477375626098339	0.000188577282720957	0.000250261440620336	37.5399361022364	41.0018851441446
KLF12-regulon	Activated	0.0414917213917226	-0.00579786259406592	35042032	0.428967514988877	1.62305648015668e-25	3.38932382620954e-25	98.2960596379127	98.6160283231413
KLF13-regulon	Activated	0.0622839857137959	-0.00418116091186255	35163487	0.430454308035951	1.58449724696965e-24	3.26084940680711e-24	100	100
KLF2-regulon	Activated	0.0989998299982755	-0.0102737417520557	30382247.5	0.371924699168473	4.76812568488204e-79	1.65139962744695e-78	100	100
KLF3-regulon	Activated	0.0651017011280778	-0.0072266074732425	37246249	0.455950467603789	9.52185597383298e-11	1.51921746998234e-10	99.8935037273695	99.8620626235689
KLF4-regulon	Activated	0.0162112248397282	0.000324879162001496	41376268	0.506508151795358	0.306103959985708	0.324378823268437	50.4259850905218	49.7861970665318
KLF6-regulon	Activated	0.0714591005028526	0.00216899274558612	42574702.5	0.521178804151988	0.0018529786615933	0.00226830146505387	100	100
KLF7-regulon	Activated	0.0495598808813143	0.0037148931424759	44924335.5	0.549941868723868	2.12865702931238e-13	3.64179877304046e-13	99.5740149094782	97.4688491424893
KLF8-regulon	Activated	0.0214028467489597	-0.00386378960554287	37999648	0.465173211787833	2.63733687715361e-07	3.86084367583312e-07	76.6773162939297	77.6771345809003
MAFB-regulon	Activated	0.0568119828119019	0.00107350723337552	42919975.5	0.525405468313552	0.000188410400405463	0.000250261440620336	100	99.9977010437262
MAFF-regulon	Activated	0.0118473349202659	-0.00056290302572801	40738139	0.498696486896121	0.81002603725495	0.815770902767396	28.4877529286475	28.5484390086901
MAFG-regulon	Activated	0.0383591266222019	0.0135109590106561	49646538	0.607748775346727	1.15894879954993e-60	3.42855686533521e-60	71.2460063897764	58.0555427835763
MAX-regulon	Activated	0.197449272652884	-0.000230476152899478	39094252	0.478572821655688	0.001636377214428	0.00203829442498926	100	100
MAZ-regulon	Activated	0.132190123818292	-0.00429129536019204	36187865.5	0.442994251483096	5.354059251272e-17	9.62375207190662e-17	100	100
MEF2A-regulon	Activated	0.0387789075703292	-0.00206069473109018	37489418.5	0.458927230370745	1.57169011024603e-09	2.42586951798843e-09	100	99.9977010437262
MLX-regulon	Activated	0.0488271449369439	-0.00427525503674941	35730488	0.437395258548359	3.52726173236845e-20	6.50482033761454e-20	100	99.9885052186307
MXD4-regulon	Activated	0.0674454845520272	-0.0257910734965062	36877889.5	0.451441189736069	9.17081153215123e-13	1.55030385424461e-12	86.4217252396166	88.6983309577452
MXI1-regulon	Activated	0.072320843473168	0.00739745416385036	48607743.5	0.595032358238007	2.45229196145457e-44	6.21831175940267e-44	100	100
MYBL1-regulon	Activated	0.017466725230504	-0.012959870564486	32682346	0.400081386479718	3.33781986627958e-49	8.77723001873519e-49	72.8966986155485	80.3692123775806
MYC-regulon	Activated	0.356776915202617	0.0437039542867505	62201929	0.761445766348382	0	0	100	100
NFATC1-regulon	Activated	0.0875586073907065	0.0386399780101956	62788936.5	0.768631626704735	0	0	99.2012779552716	94.6388339693779
NFE2L1-regulon	Activated	0.228984307360897	0.048316880567486	55997142	0.685489781249536	1.1624505558319e-163	7.17686864904915e-163	99.9467518636848	99.9356292243322
NFE2L2-regulon	Activated	0.130452463586805	0.0204169415202104	61877004	0.757468192507694	0	0	100	100
NFKB1-regulon	Activated	0.102565322368217	0.0478780806240203	69885765.5	0.855507556172267	0	0	100	99.9287323555106
NFKB2-regulon	Activated	0.109374159000838	0.037551739334129	71229722	0.871959618086318	0	0	100	100
NFYA-regulon	Activated	0.0241415723205907	0.00333102926393507	47908720.5	0.586475258603201	5.20015599385355e-37	1.21052811660197e-36	99.7337593184239	98.9861602832314
NFYB-regulon	Activated	0.103354367973859	-0.00549808064866812	38898668	0.476178577439155	0.000463086371472151	0.000597802406809504	100	100
NFYC-regulon	Activated	0.0791995786927037	-0.00452232799092103	34318241	0.420107217542618	7.71187201632284e-32	1.65922094896643e-31	100	100
NR1H3-regulon	Activated	0.00829763936265615	-0.000246970386209914	40399665	0.49455305278624	0.270265403849575	0.288554040200298	20.9797657082002	22.1527426548347
NR2C2-regulon	Activated	0.0229344795002537	0.00119788866167183	42828956	0.524291251856854	0.000324009107756254	0.000426011975012853	79.5527156549521	75.8241758241758
NR3C1-regulon	Activated	0.223307094074902	-0.00226420093275928	35690876	0.436910347707466	1.81236130404655e-20	3.3862540154554e-20	100	100
NRF1-regulon	Activated	0.0265691230558906	-0.000166952660188548	41658386.5	0.509961709279621	0.143150004599075	0.157575974054796	100	99.9655156558922
PAX5-regulon	Activated	0.092749227632403	-0.00784305603677896	30518569.5	0.373593486799804	4.74419708124693e-77	1.60399044175492e-76	100	100
POU2F1-regulon	Activated	0.00572140382326439	0.000877750880915879	42398274	0.519019052251236	3.45096188746981e-05	4.66701512400679e-05	21.7784877529286	18.1985378638098
POU6F1-regulon	Activated	0.0249839670777476	-0.00627799334762588	37131509.5	0.454545882442002	8.84127831829937e-12	1.47701355435119e-11	60.0638977635783	65.5823256241666
REL-regulon	Activated	0.286621770018938	0.0238989043227965	63122215.5	0.772711466150917	0	0	100	100
RELA-regulon	Activated	0.0961540178191518	0.00426612028270307	49246519	0.602851937275855	1.24980713585049e-51	3.34853987341073e-51	100	100
RELB-regulon	Activated	0.115670526351618	0.0109396108759855	57228748.5	0.700566509098799	5.34283519924145e-191	4.21490332384603e-190	100	100
REST-regulon	Activated	0.215318331494598	-0.00344262217306118	33895730.5	0.414935049466243	7.21063286472429e-36	1.5998591668607e-35	100	100
RFX5-regulon	Activated	0.0599030366584162	-0.00568054133414616	35166291.5	0.430488639361138	1.669155081208e-24	3.38600030759337e-24	100	100
RXRA-regulon	Activated	0.0202799330594858	0.00599803820377144	48384120.5	0.592294874218692	7.70292510079661e-44	1.91897432335635e-43	75.3993610223642	63.7822428617408
SETDB1-regulon	Activated	0.0587749659025093	-0.000983255520312878	40049643	0.49026825367609	0.152588000435805	0.166673046629879	92.7582534611289	95.1515012184468
SOX5-regulon	Activated	0.00920346994709279	0.00146061776918862	41860037.5	0.512430222759804	0.0124484923216702	0.0147307159139765	24.6006389776358	22.4033288886845
SP1-regulon	Activated	0.0150981130492121	0.00219508858749111	43847509	0.536759882365909	2.30830110969578e-08	3.45030271133474e-08	64.2172523961661	59.6326267874385
SP2-regulon	Activated	0.0284566244660685	0.000225813264241703	41631761.5	0.509635778977218	0.156700587028322	0.168571843621377	100	100
SP3-regulon	Activated	0.0276009595719513	-0.000697821851121497	38921855	0.476462421417439	0.000541123050635782	0.000692247506218749	100	100
SP4-regulon	Activated	0.00935284615438201	0.000745788160713887	41520204	0.508270146312041	0.129349200721127	0.14349676955	30.3514376996805	28.9576532254357
SPI1-regulon	Activated	0.396682789280343	-0.0228039889039222	22975592	0.281256024354932	8.61838801098459e-227	8.74150783971294e-226	100	100
SPIB-regulon	Activated	0.566015606611142	0.00163192798713641	42333968	0.518231849470905	0.00736887438309282	0.00879311060839647	100	100
SREBF1-regulon	Activated	0.0499320103889161	0.00939079185702722	48920537.5	0.598861430275937	7.73456489937214e-48	1.99692402856517e-47	97.8168264110756	96.8550278173709
SREBF2-regulon	Activated	0.0952788187917446	-0.00386372520912667	33582095.5	0.411095682315287	5.07885774701315e-39	1.22236915267096e-38	100	100
SRF-regulon	Activated	0.0244925949758523	0.0038841751855187	48028743.5	0.58794452180265	3.20879993981574e-38	7.59415985756392e-38	99.1480298189563	97.8826612717826
STAT1-regulon	Activated	0.0784054350529892	-0.00142192514545501	38130728	0.466777829404322	1.04505484154613e-06	1.4839778749955e-06	100	100
STAT2-regulon	Activated	0.0631996106838971	-0.00316576720656135	37798822.5	0.462714803677214	4.24992181000303e-08	6.28634267729615e-08	100	99.9609177433445
STAT5A-regulon	Activated	0.0834972757265512	0.0124027671166473	56959446	0.697269838854183	7.71524937039817e-185	5.76613373998179e-184	100	100
TBP-regulon	Activated	0.0182560738695231	-0.00275939592847584	39222949.5	0.480148273865774	0.00180372483170516	0.00222720805306202	46.9116080937167	50.0137937376431
TCF12-regulon	Activated	0.00878763620453667	-0.000267133086166773	40585895.5	0.496832796004331	0.541674420277284	0.553365235103412	24.6006389776358	25.2471377994391
TFDP1-regulon	Activated	0.522509943267325	-0.00589743940327492	39728290	0.486334406522357	0.0445844723722771	0.0510564119101883	100	100
TFDP2-regulon	Activated	0.0244901528779202	-0.00274667907039674	35653546	0.436453372000847	9.63189093188567e-21	1.82363801643702e-20	100	99.9954020874523
TFEC-regulon	Activated	0.101429485180837	0.0103148456474631	50727131	0.620976869366058	9.90997156584515e-71	3.19821809625002e-70	100	100
THAP1-regulon	Activated	0.0394547425780819	0.00238848291936467	47405312.5	0.580312782671853	3.70914263353272e-32	8.1030500609484e-32	100	100
THAP11-regulon	Activated	0.176887856787648	-0.00165849410793933	37271165.5	0.456255483280026	1.28005144132691e-10	2.01963671853801e-10	100	100
TP53-regulon	Activated	0.105274722718269	0.00721671235640681	50145729.5	0.613859634935537	7.2893592240268e-63	2.25019349959088e-62	100	100
USF2-regulon	Activated	0.118467941708074	-0.00711263782483419	28271648	0.346087766462865	2.64112303405781e-113	1.10305726716532e-112	100	100
XBP1-regulon	Activated	0.189259607059289	-0.00629061240878687	38207855.5	0.467721986752626	2.09344416994875e-06	2.88610749643419e-06	100	100
YBX1-regulon	Activated	0.0957192218667629	0.000558578035462123	43656974.5	0.53442745167283	4.19014265598192e-07	6.07143119540238e-07	100	100
YY1-regulon	Activated	0.637217763076378	-0.00235086562703679	39884439	0.488245906645923	0.0840593306054255	0.0947335313172256	100	100
YY2-regulon	Activated	0.0568571862592235	0.00610792098271007	44933375.5	0.550052532007763	1.84193021045367e-13	3.18968402298075e-13	93.1309904153355	90.4179502505862
ZBTB33-regulon	Activated	0.359546250907185	-0.00655088783544988	34704971	0.424841378137861	2.27330161498174e-28	4.81804222876727e-28	100	100
ZNF143-regulon	Activated	0.0251831686475474	0.00193241048383334	45892028	0.561787889725115	1.07069890414353e-19	1.94922108190232e-19	100	99.9931031311784
ZNF274-regulon	Activated	0.0671588580662753	0.00189578930021538	44395599.5	0.543469339733393	1.66889039456349e-10	2.60420259371446e-10	100	100
ZNF76-regulon	Activated	0.0153758829808857	0.000854126506457418	43581646	0.533505316807682	8.45432670245764e-07	1.21264079974645e-06	99.6272630457934	99.4528484068233
ATF1-regulon	Activated Chemokine	0.134621820018288	0.0290943484519726	42752092	0.885654670828108	0	0	100	100
ATF3-regulon	Activated Chemokine	0.0855995664622852	0.0354288396067979	44198787.5	0.915624493751416	0	0	100	100
ATF4-regulon	Activated Chemokine	0.143052994488331	0.0351456023695265	41874382	0.867471982571998	0	0	100	100
ATF5-regulon	Activated Chemokine	0.141985315860068	0.024131550584132	34141568.5	0.707278596130987	2.71863076396726e-121	5.36174400671321e-121	100	99.9977419500519
ATF6-regulon	Activated Chemokine	0.135042948327873	-0.00140474119571918	28036517.5	0.580806026466003	6.86040605028125e-20	9.2778824679994e-20	100	100
ATF6B-regulon	Activated Chemokine	0.0542706701222256	-0.00310031555126004	21018226.609375	0.435414729391876	2.92761204063209e-13	3.64667464710313e-13	100	99.9187102018697
BACH1-regulon	Activated Chemokine	0.0511839040496024	0.00809553512340592	29660890.5	0.614456626175066	2.97630662612162e-38	4.35706743205433e-38	100	99.5529061102832
BATF-regulon	Activated Chemokine	0.112234269792366	0.0952284475133916	45667750.5	0.946055611419849	0	0	98.4403669724771	50.5667705369643
BATF3-regulon	Activated Chemokine	0.152870322440903	0.071422380882002	43890393.5	0.90923578681854	0	0	100	100
BCL11A-regulon	Activated Chemokine	0.165252519467043	-0.0402138086137048	5796177	0.120073919025915	0	0	100	100
BHLHE40-regulon	Activated Chemokine	0.0766892812503233	0.0215559103896964	39085385.5	0.809694978884126	3.109608222725e-268	1.05134373244512e-267	100	100
BRF2-regulon	Activated Chemokine	0.0562345718393626	0.0149821298993476	36090212	0.747646801213298	2.82423049890515e-172	6.91449535938848e-172	100	99.722259856388
CEBPB-regulon	Activated Chemokine	0.182183880609407	0.0400540173981899	43473685.5	0.900603241151034	0	0	100	100
CEBPG-regulon	Activated Chemokine	0.115936337635515	0.0490539538974721	42810005.5	0.886854410054413	0	0	100	100
CLOCK-regulon	Activated Chemokine	0.017798935215093	0.00225845964044082	25752027	0.533480396604722	5.68441906727381e-05	6.16173669887696e-05	55.6880733944954	50.9799936774601
CREB1-regulon	Activated Chemokine	0.0306982722466979	-0.0125749944821716	12859424.5	0.266396539673109	1.62314214755906e-153	3.77846204841617e-153	100	99.9932258501558
CREB3-regulon	Activated Chemokine	0.246305964985769	0.00666608078664127	33214700	0.688077537706327	3.30634778761677e-100	5.94305551698205e-100	100	100
CREB3L2-regulon	Activated Chemokine	0.120834112907937	-0.0060893656975184	21254875	0.440317150365825	1.54891869498878e-11	1.86395300583396e-11	100	100
CREB3L4-regulon	Activated Chemokine	0.00801021209876415	-0.00316721377002557	22648773.5	0.469193227756033	2.3151398152148e-05	2.52884502892694e-05	26.1467889908257	31.474958226076
CREB5-regulon	Activated Chemokine	0.0994612340940955	0.0617707479489901	45254998	0.937505008106192	0	0	100	99.6138734588809
CREM-regulon	Activated Chemokine	0.163232256864617	0.0135583918653484	36499604	0.756127788225575	3.91709115298402e-184	1.03004989578469e-183	100	100
CTCF-regulon	Activated Chemokine	0.353790167829334	-0.0174697332210133	13714874.5	0.284118088554504	2.11386110966356e-131	4.4801235458541e-131	100	100
CUX1-regulon	Activated Chemokine	0.0548476117736833	-0.022388253373895	6307072	0.130657647725149	0	0	100	100
DDIT3-regulon	Activated Chemokine	0.115675348151254	0.0315244866800791	40199849.5	0.83278227592376	0	0	100	100
E2F1-regulon	Activated Chemokine	0.451904967309995	0.0145597867055828	31845687.5	0.659717000050133	8.54959220110562e-73	1.42828481477294e-72	100	100
E2F2-regulon	Activated Chemokine	0.0465026998457231	-0.00760087654283702	14876598.5	0.308184426333088	3.7536270038921e-104	7.0133557177984e-104	100	100
E2F3-regulon	Activated Chemokine	0.0222341521472386	0.00114638775606057	26412363.5	0.54715996357289	9.91100381737485e-08	1.15357585415347e-07	100	100
E2F4-regulon	Activated Chemokine	0.496968018570164	0.100730187974098	43931755	0.910092633909613	0	0	100	100
E2F6-regulon	Activated Chemokine	0.138993177001454	0.0682309684766749	44765767.5	0.927370082371176	0	0	100	100
E2F7-regulon	Activated Chemokine	0.0211948154299558	-0.0096100599576607	10100644	0.209245492290106	1.11024991367138e-236	3.42729321176817e-236	100	100
E2F8-regulon	Activated Chemokine	0.0769434591719516	0.00219968819445462	30965485	0.641482677028009	1.6162786744635e-57	2.52210518432766e-57	100	100
EGR1-regulon	Activated Chemokine	0.0481931606747768	0.00074812359209573	24116524.5	0.499599237566328	0.963885078129431	0.963885078129431	100	100
EGR2-regulon	Activated Chemokine	0.077569427192542	0.0322973495480173	41641208	0.862641537263832	0	0	100	99.9954839001039
EGR3-regulon	Activated Chemokine	0.076272964645415	0.0356583901111485	43626963	0.903778546205295	0	0	100	99.9954839001039
ELF1-regulon	Activated Chemokine	0.67342207241756	-0.0344501113518308	10476525.5	0.217032273955735	2.76027304564098e-224	8.16580776002125e-224	100	100
ELF2-regulon	Activated Chemokine	0.019813443978972	-0.0131587101207465	13407405	0.277748533614077	3.77238087818007e-139	8.50282674129476e-139	98.5321100917431	99.5596802601274
ELF4-regulon	Activated Chemokine	0.00993472525102016	-0.00872188959319946	12390526	0.256682812759598	2.2396253146776e-166	5.39028465566473e-166	92.8440366972477	98.4713001851601
ELK1-regulon	Activated Chemokine	0.0742363039371977	0.0083826976584353	31856297.5	0.659936797389114	5.45235783349812e-73	9.21708109948491e-73	100	100
ELK3-regulon	Activated Chemokine	0.0388667920299352	-0.0266795470492178	6379214	0.132152145333895	0	0	100	100
ELK4-regulon	Activated Chemokine	0.0460516462131142	0.00108056978017621	24852379	0.514843239543468	0.0935257386240356	0.0955442797454176	97.9816513761468	96.6987309759292
ESRRA-regulon	Activated Chemokine	0.146961996991936	0.0565855416197526	43890031.5	0.909228287606786	0	0	100	100
ETS1-regulon	Activated Chemokine	0.192836396862672	-0.0513357716683338	6266805	0.129823474355803	0	0	100	100
ETV2-regulon	Activated Chemokine	0.0212480060554418	-0.00753502231871423	13510038.5	0.279874694800726	1.54179294514279e-136	3.42085309703556e-136	100	100
ETV3-regulon	Activated Chemokine	0.0140719072790281	0.00270789956095395	27933956.5	0.57868136719331	5.24918771321079e-19	6.96621173155077e-19	91.3761467889908	84.1755859639615
ETV5-regulon	Activated Chemokine	0.0302136451277632	-0.00332998840151338	18670385	0.38677671449175	1.80604142863881e-37	2.6169171721093e-37	100	100
ETV6-regulon	Activated Chemokine	0.455647168208499	-0.00402439901799412	19971587.5	0.413732496487593	1.90192317526199e-22	2.59685664314618e-22	100	100
ETV7-regulon	Activated Chemokine	0.0429407456715799	-0.0216555323817945	6114326.5	0.126664721429143	0	0	100	100
FLI1-regulon	Activated Chemokine	0.100064456465498	-0.0449467478314987	6110084	0.126576833567632	0	0	100	100
FOS-regulon	Activated Chemokine	0.0680430694136747	-0.0186832552006064	9965529	0.206446442576961	3.21849934421382e-241	1.01561534861858e-240	100	100
FOSB-regulon	Activated Chemokine	0.0315977030165401	-0.0101188489197058	17429972.5	0.361080261453182	1.61614663297453e-55	2.46766475142348e-55	99.2660550458716	99.3248430655286
FOSL1-regulon	Activated Chemokine	0.134073981251242	0.0750839032869862	46090237	0.954807864808685	0	0	100	100
