gene	waldStat	df	pvalue	meanLogFC
CEP104	3.28267174981893	2	0.193721082227095	0.613375585715185
DFFB	2.33872248177042	2	0.310565254308536	2.88800593277036
C1orf174	2.13748752536262	2	0.343439688288681	0.721407853475739
LINC01134	1.24731074534404	2	0.535981639762737	1.28822578972798
KCNAB2	2.05163610067545	2	0.358503071857959	0.696451163968686
RPL22	46.1332616119197	2	9.60040935638062e-11	0.70701438477551
ICMT	0.724488652805322	2	0.696112268456331	0.68442045725063
ACOT7	2.96011004843464	2	0.227625163142775	1.14344583320544
NOL9	1.2041263034554	2	0.547680521650422	0.83587460455941
ZBTB48	1.84533566983738	2	0.397457275008998	1.01440982869905
PHF13	2.91079747913604	2	0.233307316492948	1.80465103778539
THAP3	0.0777626104269246	2	0.961864870716549	0.128319054558046
DNAJC11	1.66033591041111	2	0.435976055723921	0.735676690100666
CAMTA1	3.27816756093738	2	0.194157852038266	0.145781003329097
VAMP3	0.697617923150754	2	0.705527900335021	0.426525400125958
PARK7	0.182844149831514	2	0.912632430340203	0.049723431744681
RERE	0.773961489603817	2	0.679104171086083	0.364488986022409
ENO1	19.4612685764818	2	5.94345834388221e-05	0.352588198429741
SLC2A5	32.384063920519	2	9.28730843341441e-08	3.15060848517894
H6PD	0.593356087081288	2	0.74328327869591	0.994193503263066
SPSB1	2.11047676549489	2	0.3481094341312	0.546769586806718
SLC25A33	5.32228696753247	2	0.0698682828017655	0.842711630303445
PIK3CD	2.46062087078965	2	0.292201853801783	0.668842074154092
PIK3CD-AS2	2.30275417620973	2	0.316201032743108	0.898181583789913
CLSTN1	1.27916071781473	2	0.527513744046248	0.643784169972791
CTNNBIP1	0.443443033445494	2	0.801138436929673	0.33376772286952
LZIC	4.65513375912236	2	0.0975327675931709	0.763167259801071
NMNAT1	0.875602649079659	2	0.645454005991137	0.815948553306827
UBE4B	0.478478295556168	2	0.787226596368125	0.510111925619882
PGD	0.104017355717926	2	0.949320628736618	0.120394573771954
CENPS	1.43970889621748	2	0.486823108827662	1.15458555198191
DFFA	9.01124612974332	2	0.0110467052282189	0.921737866239381
PEX14	0.620838451749063	2	0.733139540725412	0.570403971929701
TARDBP	5.02936628420926	2	0.0808885383185823	0.648521172867112
SRM	5.87600712755549	2	0.0529713772192558	0.662018254288725
EXOSC10	0.595321614465959	2	0.742553165699523	0.319845703638177
MTOR	1.39816374818582	2	0.497041440987547	1.31132161618961
UBIAD1	2.08406428761452	2	0.3527371405363	0.505855705475373
FBXO2	2.64886643392366	2	0.265953654399372	38.3100576967003
FBXO44	0.360549070359184	2	0.83504093182787	0.443089694125837
FBXO6	0.665309361732335	2	0.717017751358961	0.896537262848181
MAD2L2	2.2776872276151	2	0.320189070035304	0.578772795269928
AGTRAP	0.291237478872632	2	0.86448723525247	0.39214974846452
MTHFR	0.859380848205467	2	0.650710507834709	0.259700240928138
CLCN6	3.17263689525566	2	0.204677758237673	0.849980147109815
KIAA2013	2.45993106380348	2	0.292302652623779	0.215420145628025
PLOD1	0.279079179707022	2	0.869758588907654	0.537235857254311
MFN2	2.57107648120579	2	0.276501719121104	2.24819045876249
MIIP	1.67947626458535	2	0.43182358927758	0.190651719136812
TNFRSF1B	3.09823505519175	2	0.212435359475648	2.47630871664744
VPS13D	1.20128451177062	2	0.548459271756966	0.559246759660857
PRDM2	20.3069971771196	2	3.89396094127026e-05	0.314787817136208
EFHD2	1.63844680528318	2	0.440773825412762	0.615500693445686
CASP9	0.103788007213337	2	0.949429497612016	0.207285943158115
DNAJC16	0.740007884997644	2	0.690731607423438	0.677503180042148
AGMAT	9.87748829949383	2	0.00716358912082637	3.66352108707103
DDI2	2.99694507503103	2	0.223471243526929	1.80332796007634
PLEKHM2	1.64766734361155	2	0.438746416478506	1.07937499468989
UQCRHL	1.02927248368158	2	0.597717979870095	1.28089863988167
AL450998.2	0.449917604720628	2	0.798549116420489	0.698709955126734
SPEN	2.73319186296884	2	0.254973430980758	0.627655910972517
ZBTB17	0.590018762843075	2	0.744524602734003	0.546885531890324
ARHGEF19	2.39770623809482	2	0.301539843978405	3.49640906531375
FBXO42	3.21618445109574	2	0.200269318545822	0.666688548662115
SZRD1	0.47660662609237	2	0.787963655187711	0.209590345477521
NECAP2	1.25836731104794	2	0.533026756894391	0.256729638824975
NBPF1	0.342166145286042	2	0.842751560964019	0.510397182737499
BX284668.5	0.127164951612196	2	0.938396721082957	0.228189701670065
ATP13A2	4.91427488705208	2	0.0856798637103552	1.62780343068445
SDHB	0.917503707377398	2	0.632072071793776	0.182127323555583
PADI2	3.03543630767173	2	0.219211523662769	3.76560779829504
PADI4	9.03632936020556	2	0.0109090268608681	3.987933717996
RCC2	1.408472926847	2	0.494485988291723	0.622022337433288
ALDH4A1	2.28828451433097	2	0.318496989171443	3.24274084279614
UBR4	1.20506511967097	2	0.547423496302693	0.557932489256546
AL035413.1	3.26753635168819	2	0.195192666309614	13.0058154700094
EMC1	0.0308436784598454	2	0.984696468378265	0.140051680566733
MRTO4	2.61573359172507	2	0.270396251998269	0.78377237203876
AKR7A2	0.464028654600642	2	0.792934762610821	0.183060788421496
PQLC2	4.50838012919273	2	0.104958518939831	2.3082374306699
CAPZB	0.407978301128781	2	0.815471218541775	0.0755153387585183
MINOS1	3.26086931307407	2	0.195844430562161	0.0856051434013274
TMCO4	1.95170434856562	2	0.376871056859615	2.48531588884701
OTUD3	0.000855586600967259	2	0.999572298190024	0.0285991728360282
MUL1	5.01707543117583	2	0.0813871634496484	0.353999386591947
PINK1	1.37590370743982	2	0.502604422976225	0.605083304620053
DDOST	2.17117808719333	2	0.337702805621211	0.400005127934286
HP1BP3	3.37616836083193	2	0.184873368954016	0.468710626542637
EIF4G3	0.767835591191022	2	0.681187421484355	0.189918363791516
ECE1	4.32224269779405	2	0.115195873819943	0.777947705595953
USP48	1.83652367391528	2	0.399212334507358	0.47399815766742
CDC42	6.11403688528271	2	0.0470277021883869	0.369763423446061
ZBTB40	2.77106790071277	2	0.250190174987266	2.37732874012831
KDM1A	4.7750868045787	2	0.0918550578624114	0.805930386691915
LUZP1	1.86722750587713	2	0.393130463920718	1.81962339152863
LINC01355	3.09794942218501	2	0.212465700917458	2.8768581690261
HNRNPR	0.101360383652463	2	0.950582626019755	0.0625113066847646
ASAP3	1.1502691547957	2	0.56262914654532	1.488421920591
ID3	0.827295442019388	2	0.661233849033702	0.23290868717036
RPL11	7.13960947336003	2	0.0281613520225615	0.197850854042772
ELOA	0.875543688196375	2	0.645473034540777	0.43072825123052
ELOA-AS1	2.20922789840896	2	0.331338771150775	1.58417942536673
PITHD1	3.23853508948097	2	0.19804370412498	0.574659554356784
LYPLA2	3.90537546315011	2	0.141892190498817	0.514147140388773
GALE	0.155287521251198	2	0.92529399399116	0.281917322702141
HMGCL	0.114917397268612	2	0.944160884715131	0.119417088272861
FUCA1	0.8844118991345	2	0.642617275076508	0.362895490445139
CNR2	13.4962827571192	2	0.00117305786639843	1.68395978092386
PNRC2	5.94215033625463	2	0.0512481802901671	0.199817781480117
SRSF10	0.345368379233731	2	0.841403296787386	0.11159927091666
IFNLR1	0.0189777221284138	2	0.990556016121312	0.110124506797349
STPG1	0.935402644503768	2	0.626440599586069	0.963833271373542
NIPAL3	9.44736283828681	2	0.00888241837842241	1.61826510214776
RCAN3	0.17462822011063	2	0.916389203357233	0.199769659727605
AL445686.2	1.12160362861612	2	0.570751243816382	1.66773061457388
SRRM1	2.231811344706	2	0.327618429541781	0.204755368579424
CLIC4	2.0441121463899	2	0.359854292256438	0.376864017557806
RUNX3	2.30678981581723	2	0.315563639326069	0.631423421442775
SYF2	5.3269520578504	2	0.0697055017977769	0.321902197747297
RSRP1	2.70898125139694	2	0.258078719644234	0.262883461546008
TMEM50A	4.04981051588923	2	0.132006349148243	0.232378971768933
MACO1	0.0106826662473397	2	0.994672906432082	0.0496854399795263
MTFR1L	4.39818754293125	2	0.110903616858444	0.276320557510067
STMN1	10.1133635354215	2	0.00636665052646723	0.796974861038783
ZNF593	2.6773187380794	2	0.262196942402113	0.439404111378918
CEP85	0.179767728444816	2	0.914037331543666	0.55936439292378
SH3BGRL3	3.75850182544843	2	0.152704451885785	0.226038538422434
UBXN11	0.994425780245059	2	0.608223485254882	0.480857136353166
CD52	15.3236784977916	2	0.000470441355850282	0.491885021418992
DHDDS	0.696654548996644	2	0.705867825869411	0.609315471581395
HMGN2	18.6127130412696	2	9.08449345712325e-05	0.740203096740795
RPS6KA1	0.0306148738056429	2	0.984809126389782	0.056831737656619
ARID1A	2.18883023820763	2	0.334735330005488	0.682156302124853
PIGV	1.6052598740387	2	0.448148809786624	1.22317366554089
ZDHHC18	1.7395424737099	2	0.419047400884911	3.41510438096936
GPN2	0.00220768734584044	2	0.998896765338402	0.0176920076862217
GPATCH3	0.440832180918082	2	0.80218494700836	0.382251364593769
NUDC	4.66981309944192	2	0.0968195299158	0.187236512030389
KDF1	1.04399121106859	2	0.59333530250896	0.630281735484654
WDTC1	0.585960734134353	2	0.746036787443573	0.327720707210137
TMEM222	2.22581598386612	2	0.328601998369202	0.767321005893569
SYTL1	4.64880417298684	2	0.0978419275755703	0.276671354869159
WASF2	4.10711251518486	2	0.12827790219848	0.237190096205332
AHDC1	3.10694172629848	2	0.211512567142147	1.33837624584603
FGR	3.33671128945055	2	0.188556865334658	2.5314545854309
FAM76A	0.565642226064328	2	0.753654594787014	0.514233907972002
STX12	0.968954410108149	2	0.616019164301141	0.401461875152744
PPP1R8	3.65104111340481	2	0.16113374304411	0.203115979827257
THEMIS2	36.8129394561701	2	1.01431246735117e-08	2.21361083351887
RPA2	0.039397223594713	2	0.980494138145709	0.0496057627362372
XKR8	2.21274581746076	2	0.33075647193347	1.23605322618582
EYA3	10.0998496904824	2	0.00640981515626682	1.11069267353346
PTAFR	4.42742243053393	2	0.109294280320283	0.67162390626267
DNAJC8	0.0215111270126549	2	0.989302070752131	0.0201570101136787
ATP5IF1	7.85601760290535	2	0.0196828259734975	0.295939815775477
AL353622.1	0.202391050756015	2	0.903756308315548	0.520625517514218
SESN2	0.110092766746527	2	0.946441247797705	0.0918919841959863
MED18	14.3465775537991	2	0.000766796756361043	2.56474264503982
PHACTR4	0.538994401402034	2	0.763763417521529	0.410812782746876
RCC1	0.081329406239652	2	0.960151011620515	0.110490268539931
TRNAU1AP	1.74778923214733	2	0.417323067024779	0.224428784890506
SNHG12	0.00409335346855579	2	0.997955416280398	0.0320990418491529
TAF12	3.60161781491954	2	0.16516523078335	0.178980323054843
GMEB1	3.23745961239925	2	0.198150228496025	1.10627733440656
YTHDF2	0.0950924730901522	2	0.953566382498307	0.0631342983070469
EPB41	0.489881609135992	2	0.782750872146505	0.406409534035382
SRSF4	4.10865582518533	2	0.128178954095637	0.408050030816421
MECR	0.944421078565175	2	0.623622202124156	0.701439721155795
LAPTM5	5.96213430364793	2	0.0507386591110801	0.1763719733011
PUM1	5.84522434726586	2	0.0537929869912872	0.923783988026625
SNRNP40	0.170345222392449	2	0.918353752579877	0.125284669306504
ZCCHC17	0.713404050073049	2	0.699981043488228	0.27352704455266
SERINC2	8.01835677011448	2	0.0181483000274515	8.00619661850028
PEF1	0.675856532097973	2	0.713246450049137	0.256061308811661
PTP4A2	0.837942234228192	2	0.657723191937385	0.042264960264877
KHDRBS1	2.54690648378035	2	0.279863514773846	0.280199674434646
TMEM39B	0.085682841892354	2	0.958063306794001	0.122790852829867
KPNA6	0.787764593619255	2	0.674433434535752	0.434006669225539
TXLNA	1.77982908877336	2	0.410690847091043	1.049835033812
CCDC28B	23.0467544838347	2	9.89602653078681e-06	0.877365693199299
IQCC	0.00118506276093337	2	0.999407644131585	0.0448981481935219
TMEM234	1.31071528272411	2	0.519256321836542	0.822320267102024
EIF3I	0.130694067810709	2	0.936742325616183	0.0451447233075172
LCK	14.8763629606878	2	0.000588354158890469	0.83241552977575
HDAC1	3.77742372879925	2	0.151266535201602	0.0787340441206461
MARCKSL1	173.203931636871	2	0	1.43056851607487
FAM229A	0.0347125984281367	2	0.982793453709965	0.236617481025517
BSDC1	1.08837782873499	2	0.580312275458344	0.42937961681339
ZBTB8A	2.53961537148661	2	0.280885634896558	2.96074999939934
ZBTB8OS	27.004872466763	2	1.36762317526351e-06	1.31222661727238
RBBP4	8.09979063737531	2	0.0174241985319971	0.345167941585018
SYNC	0.0481051801556433	2	0.976234368166498	0.0721306809671281
YARS	6.27051545887161	2	0.0434885441068905	0.667351201304861
S100PBP	0.0729753991174967	2	0.964169953539254	0.160718501015744
RNF19B	1.12236130397356	2	0.570535062691412	0.862641438062778
AK2	9.41489043925823	2	0.00902781222314353	0.619655795074246
TRIM62	1.81820760940729	2	0.40288512604507	3.62247067636045
ZNF362	0.569060655888782	2	0.752367537357147	1.03740259437832
PHC2	0.347558964098888	2	0.840482218640712	0.741503840791878
SMIM12	0.49387840299595	2	0.78118818715917	0.214324327921505
ZMYM6	6.15140655308252	2	0.046157155719559	0.499361683120725
SFPQ	5.48018032849843	2	0.0645645252187765	0.487460244267526
ZMYM4	2.29471431479626	2	0.31747469729056	0.801326960988574
KIAA0319L	1.78578632667453	2	0.409469375603218	0.768894000882311
NCDN	0.0355752877919898	2	0.982369622395538	0.22560307777153
AC004865.2	0.0950656370188183	2	0.953579177571881	0.209033548906165
PSMB2	4.48745831859075	2	0.10606224297824	0.16842751208409
C1orf216	4.29353257212061	2	0.116861443907187	1.48232392548742
CLSPN	1.24378150403156	2	0.536928279019577	1.14805725465023
AGO4	0.947281802764693	2	0.622730834203089	0.859569663335042
AGO1	0.226585339524417	2	0.892889300172645	0.314433748973908
AGO3	4.38027338722373	2	0.111901451358275	1.19493707469379
ADPRHL2	2.00661792270576	2	0.36666415409594	0.190624172696711
TRAPPC3	0.0883142232555313	2	0.956803620689229	0.0630412314227965
MAP7D1	1.65687133024755	2	0.436731947243812	0.43902795101954
THRAP3	4.19384204713289	2	0.122834049755239	0.312570310013702
SH3D21	1.35765366058562	2	0.507211688845921	1.16966847440763
STK40	9.31748310365286	2	0.00947838295315484	1.07795074359067
LSM10	12.6700516444318	2	0.0017731000526352	0.533818440320563
MRPS15	2.88739590311261	2	0.236053229288425	0.361210378865053
LINC01137	1.90684891612682	2	0.385418910091189	2.85223945595469
ZC3H12A	0.377057175075466	2	0.828176827563919	0.365294098141099
MEAF6	3.08974789074616	2	0.213338761866069	0.367239022837123
SNIP1	0.173056315054965	2	0.917109724878856	0.391447520695977
GNL2	0.134535653485291	2	0.934944764590591	0.140026008150577
C1orf109	6.09110517736894	2	0.0475700180696332	1.45167488914782
YRDC	4.54538394743753	2	0.103034440411162	0.78160277710001
C1orf122	0.373437737574555	2	0.829676951689413	0.219849709407866
MTF1	0.0408406904811039	2	0.979786738043215	0.143438691032129
INPP5B	5.28744332198002	2	0.0710961806946917	0.626027671749217
SF3A3	0.0745406695019855	2	0.963415655410942	0.0770397351918962
UTP11	6.84981068743575	2	0.03255236212885	0.77731320724687
POU3F1	1.12130080346014	2	0.570837669276385	1.39333670470262
RRAGC	0.555847932350826	2	0.757354403877099	0.245482745410696
AL139260.1	2.34797293795063	2	0.309132135974944	1.94139476315233
MYCBP	0.0147669074609895	2	0.992643737002339	0.0699473357250059
AKIRIN1	6.60579516053233	2	0.036776450148793	0.655487629095338
NDUFS5	13.7541298548159	2	0.00103116615546939	0.194535588378052
MACF1	3.88841286761685	2	0.143100738199182	2.09004039429783
PABPC4	0.624680677198331	2	0.731732449048414	0.265209902579446
PPIE	1.46422970235075	2	0.480890901228757	0.336696473805671
TRIT1	0.463323924604938	2	0.79321421429835	0.184441433056344
MFSD2A	1.05298804790529	2	0.590672226362073	0.360777195220673
CAP1	15.7652254809888	2	0.000377246121822772	0.606846563784192
PPT1	0.092445323465414	2	0.954829334565502	0.119122828297217
RLF	1.51318343755355	2	0.469263085096091	1.14649476242974
AL050341.2	0.222856598457624	2	0.894555529425198	0.401964778485114
ZMPSTE24	0.055181220253164	2	0.972786534248944	0.0943009841034771
SMAP2	2.96662141996182	2	0.226885292186888	0.207952779473894
EXO5	6.02896846023831	2	0.049071138376415	6.06732990694319
NFYC-AS1	0.690732543609364	2	0.707960999820686	0.501471383249285
NFYC	0.103277040713436	2	0.949672091933738	0.0964988162314317
CTPS1	0.0658711894630881	2	0.967600876176441	0.200518276902898
SCMH1	1.45611846881549	2	0.482845170636415	0.755183390790329
HIVEP3	3.65424217498105	2	0.160876049805355	1.98143908575095
FOXJ3	2.87315229196089	2	0.237740355052881	1.7899854701102
PPCS	1.96938663372726	2	0.373553772013645	0.440490666882599
PPIH	0.153896641087661	2	0.925937704327042	0.137097442326099
YBX1	0.928808784828094	2	0.628509338660379	0.0692268514187042
P3H1	0.00701640644861425	2	0.996497943330735	0.0467741882504676
C1orf50	1.13364232967919	2	0.567326011193525	0.404046977927478
SVBP	0.422948389777121	2	0.809390167186703	0.169796626331228
ERMAP	2.27198251080997	2	0.321103667779816	1.88070202709791
ZNF691	0.857581859573364	2	0.651296081558538	0.535745395462657
SLC2A1	8.448947108276	2	0.0146330361835592	1.77089328152347
EBNA1BP2	6.97202760709426	2	0.0306226972877853	0.826311462387238
CDC20	2.33858545038174	2	0.310586533631549	0.635855135867102
ELOVL1	0.113977774963758	2	0.944604566243559	0.119048282985429
MED8	2.08501729269815	2	0.35256910043119	0.537370653031166
SZT2	1.48541314522056	2	0.475824318047151	1.03024262285967
HYI	15.5322186259391	2	0.00042385916625387	0.804646607027646
KDM4A	0.00950662296760055	2	0.995257967623118	0.0671994467001939
ST3GAL3	2.84748786521197	2	0.240810747852162	3.86424466104394
IPO13	0.224209593895691	2	0.893950569300137	0.403149376622984
DPH2	0.0656503203762113	2	0.967707738637977	0.127375857770624
ATP6V0B	21.0358784908374	2	2.70468706922156e-05	0.55495706143487
CCDC24	1.98994106392237	2	0.369734339729403	2.11129817479858
DMAP1	0.12610050239493	2	0.93889629184071	0.107327229658123
ERI3	2.43305841284416	2	0.296256630181992	0.732267560884414
RNF220	0.582661583751545	2	0.747268446798084	0.645443014465139
TMEM53	6.44359560933601	2	0.0398832914011299	3.45341480975525
ARMH1	1.61485904513404	2	0.446003034770517	1.15611462746585
RPS8	63.6547634910271	2	1.50990331349021e-14	0.555041967958423
PLK3	0.225404967254708	2	0.893416426593618	0.344516461467424
EIF2B3	0.0552128257151647	2	0.972771161686487	0.113051107590512
HECTD3	0.436621126475824	2	0.803875748640452	0.666200882794187
UROD	1.66134952272853	2	0.435755156355138	0.347404809898668
MUTYH	0.227786159529538	2	0.892353361413238	0.310010557853579
TOE1	2.89072867785445	2	0.235660200728137	1.13451383597629
TESK2	2.64322807640993	2	0.26670448315512	2.15583107942106
PRDX1	212.998716468035	2	0	0.909221550994134
AKR1A1	9.57523114051873	2	0.00833230150157493	0.908774744155191
NASP	0.285365856551144	2	0.867028935676708	0.118550668668544
GPBP1L1	2.55956250866084	2	0.278098126561131	0.557651165418991
TMEM69	0.132548173907708	2	0.935874318194192	0.145931257798309
IPP	0.0766258411830866	2	0.96241173531742	0.252565227204529
MAST2	5.22158237549254	2	0.0734763871425406	2.75857773168085
POMGNT1	3.36736341727572	2	0.185689062960817	1.19234110867236
LRRC41	1.50052302776939	2	0.472243038479859	0.381444846797903
UQCRH	11.1712290716761	2	0.00375144366467428	0.412033206794178
NSUN4	3.17982794981392	2	0.203943155208515	1.5345717708384
MKNK1	0.843024438325271	2	0.656053971914399	0.553204053228526
ATPAF1	0.047172556609908	2	0.976689703901408	0.0953037686678962
EFCAB14	2.8295800106698	2	0.242976631888196	0.45438801157598
CMPK1	2.46958618312338	2	0.290894944760247	0.318573329332455
BEND5	4.04104927631293	2	0.132585887214675	1.45293705772253
FAF1	3.67908049232854	2	0.158890459815231	0.61527384822729
CDKN2C	6.38839878286617	2	0.0409993366600007	0.81604777191055
RNF11	10.1462105855027	2	0.00626294164594376	1.0815346760769
EPS15	0.154289800114906	2	0.925755701833047	0.0995375701342851
AC104170.1	6.01246130932654	2	0.0494778267275248	1.37723916151534
OSBPL9	3.39354239436492	2	0.183274326408802	0.274934440600458
NRDC	0.511217486087267	2	0.774444916484085	0.22055015997823
TXNDC12	3.19586131007156	2	0.202314744115276	0.635966490730935
KTI12	0.673437681527367	2	0.714109590187023	0.311568612048627
BTF3L4	0.0360073071543743	2	0.982157443963714	0.0474797868052985
CC2D1B	0.536458780033817	2	0.764732339017124	0.841591470180955
ORC1	0.168389940703197	2	0.919252011734089	0.564026685674836
PRPF38A	3.98079168812462	2	0.136641326081179	0.150031720025605
TUT4	12.2172076374883	2	0.00222365326951268	1.38611599115995
GPX7	1.88672943831085	2	0.389315691134586	0.472768964487604
SHISAL2A	1.79263994170458	2	0.408068604327268	0.670682422485259
COA7	0.278409125508341	2	0.870050030422499	0.410727840207859
ZYG11B	2.29685695253735	2	0.317134762778075	1.75222504026606
ECHDC2	9.56434875461717	2	0.00837776273126767	2.25394118971987
SCP2	6.59715214083089	2	0.0369357238439313	0.246119197402663
CPT2	1.1781851464145	2	0.554830524456698	0.51844862164109
C1orf123	2.49013539119951	2	0.287921416458058	0.624795877662798
MAGOH	0.971864343169439	2	0.61512352875272	0.159475851124143
LRP8	2.15002465319858	2	0.341293548286255	0.705050413631262
AC119428.2	0.937976496246737	2	0.625634935497687	1.0940273279795
NDC1	1.29065519065484	2	0.524490693259303	0.766279890177662
YIPF1	7.26757327963506	2	0.0264159670325048	0.94942704794365
HSPB11	0.706962227490808	2	0.702239255132186	0.0930752096862424
LRRC42	0.0120084052095246	2	0.994013786598084	0.045889839753549
TMEM59	18.3640385564416	2	0.000102872594887393	0.383773672336357
TCEANC2	4.68892303307982	2	0.0958988281621765	2.27918012463879
CYB5RL	0.197370967108535	2	0.906027623803825	0.693924548242959
MRPL37	0.000562578830742719	2	0.999718750142787	0.00611021064268425
SSBP3	2.74318143701318	2	0.253703068233451	0.845202629475065
PARS2	2.20314741426406	2	0.332347654070112	3.88069327260082
DHCR24	1.50303940474393	2	0.471649241358334	0.616493544003491
USP24	0.0141864834274222	2	0.992931855948971	0.0698365554572541
OMA1	1.85406346368467	2	0.395726591438197	0.817941046399018
MYSM1	1.08112995642923	2	0.582419105296013	0.698965394449719
JUN	14.0289967882692	2	0.000898756520270161	1.90068231874234
FGGY	0.0783880201162125	2	0.961564137934332	0.280050912258388
NFIA	2.02112167043193	2	0.364014770010767	2.44585878393533
TM2D1	2.14648013804524	2	0.341898944663776	0.125323058018034
L1TD1	2.90754257855726	2	0.233687321688601	1.59356199546817
USP1	0.0494680813328947	2	0.975569339299566	0.0678262467454264
DOCK7	1.59341295403235	2	0.450811279067094	1.23425891114903
ATG4C	0.0175805439627744	2	0.991248249505285	0.0705915522317292
ALG6	3.01835977864286	2	0.221091222901603	0.680838131819636
ITGB3BP	12.5685575898789	2	0.0018654018219969	1.69807543621087
EFCAB7	0.851711209966209	2	0.65321065567497	0.886964252854671
PGM1	0.393063983059652	2	0.821575047432191	0.287355323404729
JAK1	5.28362758074989	2	0.071231952485003	0.339445697031273
LEPROT	0.332322037277231	2	0.846909854938021	0.272810668152307
PDE4B	11.1968132309105	2	0.0037037605320771	2.6530942942813
MIER1	1.32461703702121	2	0.51565954977661	0.429401062684336
SLC35D1	4.70440615508119	2	0.0951592878258707	1.62333231350808
SERBP1	0.56180565800588	2	0.755101705901056	0.0864214229670092
GADD45A	29.1639807771128	2	4.64645824815868e-07	2.5663791014727
LRRC7	2.87004943131727	2	0.238109478909361	2.48675680890582
LRRC40	0.0772906061824112	2	0.962091899655964	0.120070790602534
SRSF11	0.0424118992540051	2	0.979017315554435	0.0364151212447767
ANKRD13C	0.0845270449161847	2	0.958617130141911	0.21737417904883
HHLA3	0.485361889068955	2	0.784521779806729	0.125400130803348
ZRANB2	9.17648049736639	2	0.0101707406087906	0.709218467118717
FPGT	3.95549382498405	2	0.138380670095625	2.48940476124834
CRYZ	2.09285827666645	2	0.351189562100561	0.544156525023821
TYW3	2.59617654002716	2	0.27305329856506	0.273201831153913
ACADM	0.688908073707485	2	0.708607121251094	0.103970103526211
RABGGTB	0.386853376959638	2	0.824130252222106	0.197299757534019
PIGK	0.0162921718361715	2	0.99188700352902	0.0909405230094993
AC118549.1	0.973873634179108	2	0.614505857986672	0.652665063247077
USP33	2.21136298105794	2	0.330985242057199	0.790434924710946
MIGA1	0.00816911969044998	2	0.995923770623381	0.0875073451316956
FUBP1	3.02266384972078	2	0.220615938330641	0.561477772909761
DNAJB4	2.06224723248343	2	0.356606047028509	2.17161923351508
AC103591.3	1.23482384014742	2	0.539338483968663	0.48838875038786
PRKACB	6.65991684313723	2	0.0357945933197579	1.48705541086088
RPF1	2.92018614613137	2	0.23221466079356	0.168116161756785
GNG5	6.12681408660621	2	0.0467282186380678	0.433622910924744
CTBS	1.93548170209501	2	0.379940411254015	0.611103853444181
SSX2IP	0.0020214281062844	2	0.998989796546269	0.055998243436723
MCOLN2	0.00433083025618555	2	0.997836927691881	0.0240608999361955
C1orf52	0.421249030429607	2	0.810078181814529	0.26872472699196
BCL10	2.63746634961821	2	0.267473930141823	0.320564704798907
